code,name_fr,etb_code,institution_fr,min1,min1_status,min2,min2_status,min3,min3_status,page
P01MAL01,MEDECINE,C99,RECRUTEMENT NATIONAL,16.65,value,17.15,value,,not_applicable,1
P02MAL01,PHARMACIE,C99,RECRUTEMENT NATIONAL,16.26,value,16.76,value,,not_applicable,1
P03MAL01,MEDECINE DENTAIRE,C99,RECRUTEMENT NATIONAL,16.99,value,17.5,value,,not_applicable,1
D00CAN12,FB SP ECOLE NATIONALE SUPERIEURE D AGRICULTURE SAHARIENNE D ADRAR,P73,ECOLE NATIONALE SUPERIEURE D AGRICULTURE SAHARIENNE D ADRAR,12.29,value,12.91,value,,not_applicable,1
A00LAL01,SCIENCES ET TECHNOLOGIES,U12,UNIV. ADRAR,,NC,,not_applicable,,not_applicable,1
A05TCL01,GENIE CIVIL,U12,UNIV. ADRAR,,NC,,not_applicable,,not_applicable,1
A08TCL01,GENIE DES PROCEDES,U12,UNIV. ADRAR,,NC,,not_applicable,,not_applicable,1
A16TCL01,ELECTROTECHNIQUE,U12,UNIV. ADRAR,,NC,,not_applicable,,not_applicable,1
A19TCL01,GENIE MECANIQUE,U12,UNIV. ADRAR,,NC,,not_applicable,,not_applicable,1
B00LAL01,SCIENCES DE LA MATIERE,U12,UNIV. ADRAR,,NC,,not_applicable,,not_applicable,1
C01LAL01,INFORMATIQUE,U12,UNIV. ADRAR,10.45,value,10.11,value,,not_applicable,1
C02LAL01,MATHEMATIQUES,U12,UNIV. ADRAR,,NC,,NC,,not_applicable,1
D00LAL01,SCIENCES DE LA NATURE ET DE LA VIE,U12,UNIV. ADRAR,11.24,value,12.12,value,,not_applicable,1
D03TCL01,SCIENCES AGRONOMIQUES,U12,UNIV. ADRAR,,NC,,NC,,not_applicable,1
F00LAL02,"SCIENCES ECONOMIQUES, DE GESTION ET COMMERCIALES",U12,UNIV. ADRAR,10.47,value,11.62,value,,none_assigned,1
G01LAL02,SCIENCES POLITIQUES,U12,UNIV. ADRAR,,NC,,NC,,NC,1
G02LAL01,DROIT,U12,UNIV. ADRAR,,NC,,NC,,NC,1
H01LAL01,LANGUE FRANCAISE,U12,UNIV. ADRAR,11.03,value,11.97,value,12.82,value,1
H06LAL01,LANGUE ANGLAISE,U12,UNIV. ADRAR,,NC,,NC,,NC,1
I17LAL02,SCIENCES HUMAINES,U12,UNIV. ADRAR,10.0,value,10.73,value,,not_applicable,1
I19LAL01,SCIENCES SOCIALES,U12,UNIV. ADRAR,10.33,value,11.11,value,,not_applicable,1
I20LAL01,SCIENCES ISLAMIQUES,U12,UNIV. ADRAR,10.31,value,11.04,value,,not_applicable,1
L00LAL01,LANGUE ET LITTERATURE ARABES,U12,UNIV. ADRAR,,NC,,NC,,not_applicable,1
N05IAL02,ARCHITECTURE,U12,UNIV. ADRAR,,NC,,not_applicable,,not_applicable,2
A00LAL04,SCIENCES ET TECHNOLOGIES,C16,UNIV. CHLEF,10.95,value,,not_applicable,,not_applicable,2
A00TCL03,SCIENCES ET TECHNOLOGIES,C16,UNIV. CHLEF,,NC,,not_applicable,,not_applicable,2
A05TCL01,GENIE CIVIL,C16,UNIV. CHLEF,10.82,value,,not_applicable,,not_applicable,2
A08TCL01,GENIE DES PROCEDES,C16,UNIV. CHLEF,10.21,value,,not_applicable,,not_applicable,2
A16TCL01,ELECTROTECHNIQUE,C16,UNIV. CHLEF,11.39,value,,not_applicable,,not_applicable,2
A19TCL01,GENIE MECANIQUE,C16,UNIV. CHLEF,,NC,,not_applicable,,not_applicable,2
B00LAL03,SCIENCES DE LA MATIERE,C16,UNIV. CHLEF,10.3,value,,not_applicable,,not_applicable,2
C01LAL03,INFORMATIQUE,C16,UNIV. CHLEF,13.67,value,14.33,value,,not_applicable,2
C02LAL03,MATHEMATIQUES,C16,UNIV. CHLEF,10.26,value,10.9,value,,not_applicable,2
D00LAL03,SCIENCES DE LA NATURE ET DE LA VIE,C16,UNIV. CHLEF,10.98,value,11.75,value,,not_applicable,2
D03TCL01,SCIENCES AGRONOMIQUES,C16,UNIV. CHLEF,10.56,value,12.36,value,,not_applicable,2
E01LAL01,GEOGRAPHIE ET AMENAGEMENT DU TERRITOIRE,C16,UNIV. CHLEF,,NC,,NC,,not_applicable,2
E03LAL02,GEOLOGIE,C16,UNIV. CHLEF,,NC,,NC,,not_applicable,2
F00LAL03,"SCIENCES ECONOMIQUES, DE GESTION ET COMMERCIALES",C16,UNIV. CHLEF,10.37,value,11.52,value,13.11,value,2
G01LAL03,SCIENCES POLITIQUES,C16,UNIV. CHLEF,,NC,,NC,,NC,2
G02LAL01,DROIT,C16,UNIV. CHLEF,,NC,,NC,,NC,2
H01LAL03,LANGUE FRANCAISE,C16,UNIV. CHLEF,11.07,value,11.92,value,12.62,value,2
H03IAL24,"TRADUCTION INTERPRETARIAT (ARABE, FRANCAIS, ANGLAIS)",C16,UNIV. CHLEF,,NC,,NC,,not_applicable,2
H06LAL01,LANGUE ANGLAISE,C16,UNIV. CHLEF,12.4,value,13.21,value,14.14,value,2
I17LAL02,SCIENCES HUMAINES,C16,UNIV. CHLEF,,NC,,NC,,not_applicable,2
I19LAL03,SCIENCES SOCIALES,C16,UNIV. CHLEF,,NC,,NC,,not_applicable,2
J00LAL01,SCIENCES ET TECHNIQUES DES ACTIVITES PHYSIQUES ET SPORTIVES,C16,UNIV. CHLEF,10.64,value,,not_applicable,,not_applicable,2
L00LAL02,LANGUE ET LITTERATURE ARABES,C16,UNIV. CHLEF,,NC,,NC,,not_applicable,3
N01LAL01,GESTION DES TECHNIQUES URBAINES,C16,UNIV. CHLEF,10.12,value,,not_applicable,,not_applicable,3
N05IAL02,ARCHITECTURE,C16,UNIV. CHLEF,12.96,value,,not_applicable,,not_applicable,3
C01LAL02,INFORMATIQUE,C43,C. UNIV. AFLOU,,NC,,NC,,not_applicable,3
D00LAL04,SCIENCES DE LA NATURE ET DE LA VIE,C43,C. UNIV. AFLOU,,NC,,NC,,not_applicable,3
F00LAL01,"SCIENCES ECONOMIQUES, DE GESTION ET COMMERCIALES",C43,C. UNIV. AFLOU,,NC,,NC,,NC,3
F03LPL02,MANAGEMENT ELECTRONIQUE DES AFFAIRES,C43,C. UNIV. AFLOU,10.59,value,,not_applicable,,not_applicable,3
G02LAL02,DROIT,C43,C. UNIV. AFLOU,,NC,,NC,,NC,3
H01LAL02,LANGUE FRANCAISE,C43,C. UNIV. AFLOU,,NC,,NC,,NC,3
H06LAL03,LANGUE ANGLAISE,C43,C. UNIV. AFLOU,,NC,,NC,,NC,3
I04LAL01,HISTOIRE ET BIG DATA,C43,C. UNIV. AFLOU,,NC,,not_applicable,,not_applicable,3
I17LAL02,SCIENCES HUMAINES,C43,C. UNIV. AFLOU,,NC,,NC,,not_applicable,3
I19LAL02,SCIENCES SOCIALES,C43,C. UNIV. AFLOU,,NC,,NC,,not_applicable,3
L00LAL01,LANGUE ET LITTERATURE ARABES,C43,C. UNIV. AFLOU,,NC,,NC,,not_applicable,3
A00LAL01,SCIENCES ET TECHNOLOGIES,C18,UNIV. LAGHOUAT,,NC,,not_applicable,,not_applicable,3
A00TCL02,SCIENCES ET TECHNOLOGIES,C18,UNIV. LAGHOUAT,,NC,,not_applicable,,not_applicable,3
A05IAN01,GENIE CIVIL (CONSTRUCTIONS CIVILS ET ENVIRONNEMENT),C18,UNIV. LAGHOUAT,,NC,,not_applicable,,not_applicable,3
A05IAN02,GENIE CIVIL (VOIRIE ET RESEAUX DIVERS),C18,UNIV. LAGHOUAT,,NC,,not_applicable,,not_applicable,3
A05TCL01,GENIE CIVIL,C18,UNIV. LAGHOUAT,,NC,,not_applicable,,not_applicable,3
A08TCL01,GENIE DES PROCEDES,C18,UNIV. LAGHOUAT,,NC,,not_applicable,,not_applicable,3
A09IAN04,ELECTROTECHNIQUE,C18,UNIV. LAGHOUAT,,NC,,not_applicable,,not_applicable,3
A15IAN01,TRAVAUX PUBLICS,C18,UNIV. LAGHOUAT,,NC,,not_applicable,,not_applicable,3
A16TCL01,ELECTROTECHNIQUE,C18,UNIV. LAGHOUAT,,NC,,not_applicable,,not_applicable,3
A19TCL01,GENIE MECANIQUE,C18,UNIV. LAGHOUAT,,NC,,not_applicable,,not_applicable,4
B00LAL01,SCIENCES DE LA MATIERE,C18,UNIV. LAGHOUAT,,NC,,not_applicable,,not_applicable,4
B01IPN01,CHIMIE,C18,UNIV. LAGHOUAT,11.18,value,,not_applicable,,not_applicable,4
B02IPN01,PHYSIQUE,C18,UNIV. LAGHOUAT,10.57,value,,not_applicable,,not_applicable,4
C01LAL03,INFORMATIQUE,C18,UNIV. LAGHOUAT,10.88,value,10.04,value,,not_applicable,4
C01TCL02,INFORMATIQUE,C18,UNIV. LAGHOUAT,13.19,value,13.83,value,,not_applicable,4
C02LAL03,MATHEMATIQUES,C18,UNIV. LAGHOUAT,,NC,,NC,,not_applicable,4
CF0LAN01,MATHEMATIQUES APPLIQUEES + SCIENCES ECONOMIQUES,C18,UNIV. LAGHOUAT,,NC,,NC,,not_applicable,4
D00LAL01,SCIENCES DE LA NATURE ET DE LA VIE,C18,UNIV. LAGHOUAT,,NC,,NC,,not_applicable,4
D03TCL01,SCIENCES AGRONOMIQUES,C18,UNIV. LAGHOUAT,,NC,,NC,,not_applicable,4
F00LAL02,"SCIENCES ECONOMIQUES, DE GESTION ET COMMERCIALES",C18,UNIV. LAGHOUAT,,NC,,NC,,NC,4
F01LPL01,MANAGEMENT DES SYSTEMES D INFORMATIONS DE SANTE,C18,UNIV. LAGHOUAT,12.0,value,,not_applicable,,not_applicable,4
F03LPL01,COMMUNICATION MARKETING ET GESTION DE LA RELATION CLIENT,C18,UNIV. LAGHOUAT,10.02,value,,not_applicable,,not_applicable,4
F04EAN01,SCIENCES ECONOMIQUES (A DISTANCE),C18,UNIV. LAGHOUAT,10.44,value,11.62,value,12.83,value,4
F04LAL01,TRADING ET LES MARCHES FINANCIERS,C18,UNIV. LAGHOUAT,,NC,,not_applicable,,not_applicable,4
G01LAL01,SCIENCES POLITIQUES,C18,UNIV. LAGHOUAT,,NC,,NC,,NC,4
